timestamp,startTime,endTime,stepcount,heartrate,sleep,meanSpeed,distance,exerciseType,liveData/0/speed,liveData/0/start_time,liveData/1/speed,liveData/1/start_time,liveData/2/speed,liveData/2/start_time,liveData/3/speed,liveData/3/start_time,liveData/4/speed,liveData/4/start_time,liveData/5/speed,liveData/5/start_time,liveData/6/speed,liveData/6/start_time,liveData/7/speed,liveData/7/start_time
1489040731284,,,136,,,,,,,,,,,,,,,,,,,,,
1489040731343,,,119,,,,,,,,,,,,,,,,,,,,,
1489040731401,,,114,,,,,,,,,,,,,,,,,,,,,
1489040731459,,,118,,,,,,,,,,,,,,,,,,,,,
1489040731521,,,29,,,,,,,,,,,,,,,,,,,,,
1489040731579,,,103,,,,,,,,,,,,,,,,,,,,,
1489040731783,,,105,,,,,,,,,,,,,,,,,,,,,
1489040731860,,,6,,,,,,,,,,,,,,,,,,,,,
1489042322671,,,18,,,,,,,,,,,,,,,,,,,,,
1489042947124,,,25,,,,,,,,,,,,,,,,,,,,,
1489043008757,,,15,,,,,,,,,,,,,,,,,,,,,
1489043040397,,,39,,,,,,,,,,,,,,,,,,,,,
1489043040429,,,15,,,,,,,,,,,,,,,,,,,,,
1489043040438,,,1,,,,,,,,,,,,,,,,,,,,,
1489043040519,,,20,,,,,,,,,,,,,,,,,,,,,
1489043052491,,,38,,,,,,,,,,,,,,,,,,,,,
1489047300337,,,,73,,,,,,,,,,,,,,,,,,,,
1489048500332,,,,70,,,,,,,,,,,,,,,,,,,,
1489048500361,,,,71,,,,,,,,,,,,,,,,,,,,
1489048978704,,,,73,,,,,,,,,,,,,,,,,,,,
1489053295423,,,,76,,,,,,,,,,,,,,,,,,,,
1489054500409,,,,69,,,,,,,,,,,,,,,,,,,,
1489055700319,,,,63,,,,,,,,,,,,,,,,,,,,
1489055700348,,,,63,,,,,,,,,,,,,,,,,,,,
1489056113662,,,,64,,,,,,,,,,,,,,,,,,,,
1489056900269,,,,65,,,,,,,,,,,,,,,,,,,,
1489058100313,,,,81,,,,,,,,,,,,,,,,,,,,
1489058100345,,,,75,,,,,,,,,,,,,,,,,,,,
1489059300307,,,,64,,,,,,,,,,,,,,,,,,,,
1489059780000,1489059780000,1489043160000,,,1,,,,,,,,,,,,,,,,,,,
1489059802376,,,,65,,,,,,,,,,,,,,,,,,,,
1489066019738,,,15,,,,,,,,,,,,,,,,,,,,,
