stepcount,timestamp
7,1489036092087
39,1489037129995
50,1489037130131
84,1489037221477
49,1489037693718
84,1489037693842
79,1489037693904
59,1489037693965
86,1489037694017
143,1489037694088
161,1489037694155
78,1489037694272
58,1489037738116
143,1489038077770
145,1489038077980
136,1489038078073
139,1489038078137
117,1489038078263
66,1489038585882
131,1489038586061
151,1489038586121
104,1489038586185
109,1489038701119
80,1489038701296
89,1489038785707
66,1489039569857
129,1489039569945
126,1489039569992
96,1489039953688
113,1489039953807
113,1489039953877
123,1489039953936
120,1489039953985
112,1489039954028
122,1489040100186
117,1489040100273
114,1489040100363
101,1489040238975
136,1489040239044
136,1489040731284
119,1489040731343
114,1489040731401
118,1489040731459
29,1489040731521
103,1489040731579
105,1489040731783
6,1489040731860
25,1489042947124
15,1489043008757
1,1489043040438
25,1489037001659
22,1489037002292
107,1489037067497
95,1489037547740
110,1489037547751
90,1489037547764
114,1489037547775
113,1489037547833
107,1489037547859
90,1489037547883
105,1489037547924
93,1489037651306
43,1489037651319
56,1489037792415
102,1489037792442
102,1489037995491
105,1489037995509
105,1489037995522
97,1489038122353
60,1489038900262
121,1489038900289
72,1489038900304
78,1489038900344
84,1489038900366
56,1489038900392
47,1489038900452
46,1489039597494
80,1489039597518
120,1489039597535
106,1489039597547
88,1489039913534
112,1489039913549
113,1489039913565
111,1489039913579
110,1489039913595
108,1489040027358
110,1489040027371
112,1489040100283
108,1489040703456
87,1489040703528
106,1489040703541
108,1489040703556
110,1489040703583
107,1489040703598
107,1489040703613
24,1489040703630
99,1489040703644
87,1489040703658
16,1489040703673
18,1489042322671
39,1489043040397
15,1489043040429
20,1489043040519
38,1489043052491
15,1489066019738
8,1489066020631
13,1489066290187
14,1489067017943
41,1489067108439
21,1489067244173
128,1489067244295
125,1489067280142
125,1489067340311
91,1489067400261
126,1489067460493
125,1489067524721
125,1489067700169
123,1489067700233
108,1489067700300
124,1489068152844
125,1489068152911
125,1489068152987
123,1489068153119
120,1489068153227
80,1489068153305
3,1489068153367
100,1489068278742
48,1489068278906
7,1489068515607
44,1489068764796
39,1489068805799
108,1489068841661
25,1489068941764
47,1489070724832
20,1489070724930
9,1489070857188
18,1489070857251
8,1489070911698
49,1489071101270
18,1489071295141
34,1489071295246
6,1489071860767
43,1489072101635
10,1489072382096
36,1489072835462
6,1489072835604
75,1489072835671
75,1489072835908
14,1489072836169
36,1489073295309
44,1489073295534
22,1489073295753
11,1489075249531
12,1489075774866
31,1489075774988
13,1489077122679
14,1489078228756
17,1489078327109
21,1489078598357
34,1489078987992
20,1489078988107
7,1489079113339
16,1489079177211
21,1489079300765
15,1489079456672
12,1489079589239
6,1489079666382
69,1489079718719
58,1489079796536
12,1489080046367
23,1489080135021
26,1489080236265
122,1489080240524
80,1489080320261
90,1489080900100
108,1489080900198
108,1489080900299
109,1489080900361
111,1489080900429
106,1489080900565
106,1489080900692
101,1489080900795
109,1489081071817
111,1489081072024
96,1489081080324
54,1489081206488
40,1489085575382
103,1489086336017
107,1489086336162
108,1489086336236
110,1489086336309
102,1489086336370
118,1489086336452
115,1489086336577
112,1489086336734
82,1489086364041
2,1489086449858
53,1489086665510
23,1489086665669
24,1489086878782
76,1489086878920
39,1489086879015
32,1489086943747
44,1489086966599
89,1489087057828
54,1489087131040
13,1489087751263
7,1489087896655
79,1489087896739
43,1489087945161
13,1489089944243
52,1489089944343
21,1489090109371
56,1489090109453
39,1489090109666
21,1489090201131
29,1489090392785
13,1489090392982
67,1489090496213
33,1489090597217
26,1489090670209
101,1489090797206
95,1489090797327
11,1489090839188
9,1489091016492
19,1489091043375
32,1489091250482
36,1489091346784
19,1489091559486
108,1489091559624
3,1489091601627
55,1489091671586
27,1489091888991
9,1489091889196
14,1489092167077
14,1489092274129
52,1489092274255
54,1489092491249
7,1489092491355
21,1489092638941
26,1489092639079
13,1489092825294
55,1489092825461
33,1489092883660
51,1489092904417
6,1489092981947
6,1489093126295
45,1489093126387
29,1489093389222
32,1489093545436
37,1489093694643
13,1489093694755
7,1489093780429
12,1489093981628
26,1489094095354
9,1489094531382
18,1489094986220
78,1489095060829
14,1489095060894
30,1489095306631
32,1489096082498
6,1489096203077
8,1489096488976
13,1489096540210
7,1489096686835
6,1489096686984
8,1489096904634
86,1489096904784
98,1489096964088
104,1489096990342
19,1489097104629
10,1489097159500
39,1489097282733
6,1489097342986
59,1489097584474
47,1489097584588
1,1489097584714
19,1489097803381
50,1489097933439
70,1489097963824
13,1489098000351
10,1489098195957
91,1489098196076
37,1489098271583
7,1489098851592
6,1489098939144
87,1489099072788
7,1489099187375
6,1489099277777
2,1489099277910
83,1489099448295
82,1489099504066
51,1489099823042
112,1489099823130
112,1489099823194
63,1489099823303
118,1489099823426
103,1489099988724
7,1489099988843
19,1489100501170
137,1489100501286
123,1489100501367
43,1489100501450
53,1489100685337
17,1489100834209
14,1489100834339
44,1489100956103
14,1489100956194
58,1489101108221
52,1489101108363
46,1489101218858
67,1489101422249
23,1489101623759
56,1489101838853
94,1489101838984
39,1489101967360
2,1489101967490
12,1489102456492
6,1489103293857
5,1489103293946
25,1489103700067
31,1489103726759
40,1489103793192
31,1489103869388
9,1489104020051
39,1489104514426
31,1489104514544
16,1489104667782
7,1489106020948
84,1489107176760
54,1489107176940
35,1489107620009
111,1489107620158
91,1489107776897
41,1489107777086
42,1489107833563
15,1489067177433
41,1489067177615
32,1489067217554
106,1489067223586
134,1489067385422
123,1489067385439
104,1489067407459
122,1489067510123
121,1489067612926
123,1489067612940
123,1489067700271
98,1489067744067
122,1489067822370
121,1489067822381
121,1489068081499
120,1489068081528
117,1489068081546
61,1489068081564
54,1489068631783
33,1489068631923
80,1489068749467
44,1489068787543
108,1489068900275
36,1489068971702
69,1489069002414
9,1489069029542
69,1489070677450
19,1489070782397
20,1489070945552
45,1489071218613
36,1489071218626
28,1489071234551
27,1489071265682
21,1489071997429
54,1489072330160
41,1489072625453
71,1489072701865
42,1489072817534
20,1489073163553
7,1489073163569
21,1489073163589
73,1489073205428
23,1489073243552
16,1489073988789
25,1489075222404
18,1489075668661
19,1489075800649
20,1489077076371
24,1489077260537
26,1489077339698
33,1489078008422
24,1489078276371
23,1489078364477
25,1489078980678
10,1489078980690
41,1489079199660
35,1489079324649
23,1489079579510
19,1489079589419
14,1489079686390
60,1489079752397
33,1489079803510
22,1489079952436
60,1489080027688
47,1489080112610
38,1489080128611
110,1489080252447
54,1489080353516
59,1489080471495
102,1489080490606
108,1489080540277
107,1489080621785
100,1489080679663
102,1489080900259
106,1489080900275
99,1489080900290
109,1489080987699
107,1489081185516
84,1489081185527
58,1489081185543
21,1489084084488
54,1489085559676
94,1489085895531
106,1489086028512
108,1489086028552
103,1489086134557
93,1489086138415
106,1489086187466
110,1489086241643
109,1489086371753
56,1489086371768
14,1489086646488
44,1489086646504
37,1489086646520
42,1489086774443
65,1489086786936
29,1489087022661
36,1489087022673
96,1489087071555
47,1489087841860
70,1489087887409
69,1489087934602
31,1489088673765
30,1489089923494
23,1489089923515
24,1489089923526
70,1489090048081
25,1489090170483
17,1489090170494
33,1489090469387
13,1489090469408
22,1489090469423
77,1489090514504
56,1489090580423
33,1489090697063
106,1489090697075
107,1489090875508
35,1489091051462
22,1489091311776
19,1489091311789
30,1489091419617
30,1489091649586
85,1489091649620
10,1489091649657
52,1489091649670
15,1489092150160
51,1489092348795
45,1489092348819
12,1489092349057
58,1489092367508
52,1489092577456
77,1489092612462
15,1489092755836
22,1489092815418
61,1489092815454
26,1489092899258
38,1489092971448
44,1489093265660
1,1489093265672
17,1489093265683
42,1489093313496
33,1489093434665
31,1489093546370
18,1489093682400
9,1489093682545
22,1489094099844
19,1489094957679
23,1489094957696
17,1489095000863
19,1489095081654
30,1489095254139
17,1489095254154
19,1489095428466
16,1489095428530
12,1489095778100
12,1489095838777
15,1489096076464
26,1489096549408
23,1489096791866
20,1489096808663
86,1489096889442
69,1489097009465
80,1489097009486
35,1489097202538
41,1489097271424
25,1489097414600
29,1489097454570
87,1489097481379
46,1489097520812
16,1489097701258
50,1489097917613
67,1489098207809
4,1489098207822
80,1489098207834
24,1489098272666
24,1489098943500
71,1489099065121
19,1489099105587
24,1489099370500
63,1489099495047
31,1489099520411
41,1489099642437
103,1489099642474
109,1489099735525
63,1489099748626
76,1489099832712
49,1489099886571
102,1489099933524
31,1489100374439
86,1489100374494
118,1489100374525
112,1489100456529
33,1489100462469
28,1489100646710
40,1489100818608
24,1489100818644
16,1489100908422
32,1489100910073
39,1489101032690
73,1489101032702
42,1489101062693
16,1489101193648
41,1489101234444
18,1489101376747
93,1489101376758
50,1489101649658
36,1489101685578
51,1489101764649
68,1489101896589
28,1489101960728
29,1489102053421
20,1489103701245
27,1489104107700
36,1489104107713
15,1489104107723
32,1489104107735
4,1489104107773
21,1489104316529
59,1489104391575
13,1489104391598
21,1489104475428
28,1489104789494
70,1489107103605
49,1489107151633
20,1489107462716
4,1489107462729
39,1489107519383
80,1489107576379
3,1489107644754
68,1489107703467
33,1489107744567
51,1489107877392
81,1489108123305
17,1489108123516
124,1489108500204
85,1489108500346
48,1489108747786
6,1489108747927
97,1489108916733
12,1489108916882
59,1489109353965
112,1489109354053
111,1489109354118
112,1489109354182
109,1489109354237
39,1489109354294
17,1489108021829
73,1489108021845
28,1489108100393
22,1489108442458
93,1489108442499
67,1489108508419
15,1489108657700
23,1489108825425
54,1489108825439
43,1489109134427
22,1489109134498
106,1489109134509
106,1489109390887
107,1489109390936
106,1489109390964
106,1489109391129
88,1489109699283
107,1489109699297
107,1489109699312
107,1489109699325
74,1489109699340
96,1489109714500
116,1489110064500
112,1489110064533
110,1489110064551
110,1489110064568
111,1489110064595
107,1489110108420
78,1489110234595
23,1489110262426
13,1489110305597
17,1489110518682
24,1489110635542
13,1489110686197
33,1489111845408
7,1489115880502
43,1489117948257
12,1489118007598
18,1489118293878
13,1489118294005
18,1489118473065
72,1489120468222
100,1489120501496
104,1489120569692
108,1489120687447
96,1489120687858
92,1489120749739
124,1489120800283
122,1489121035800
113,1489121035937
104,1489121036035
119,1489121040516
106,1489121102802
110,1489121160434
104,1489121240064
103,1489121280456
94,1489121340471
36,1489121443920
105,1489121551722
35,1489121551817
13,1489121620235
6,1489121680984
23,1489121737957
26,1489121909789
17,1489121984523
9,1489122037907
19,1489116945088
34,1489117115632
43,1489117648693
25,1489118303877
12,1489118304037
12,1489118372040
27,1489118891314
85,1489120499876
88,1489121063360
103,1489121063425
112,1489121063454
81,1489121063490
93,1489121063576
91,1489121063715
108,1489121063786
106,1489121063844
106,1489121063870
102,1489121063893
104,1489121607394
104,1489121607408
103,1489121607425
100,1489121607439
89,1489121607453
48,1489121607465
104,1489121607484
33,1489121607508
32,1489122078596
18,1489122078615
23,1489122078634
17,1489123031538
22,1489125300223
12,1489152281223
29,1489152281367
28,1489152281482
110,1489152440618
18,1489152440841
6,1489152900198
126,1489152900364
128,1489152900513
131,1489152900618
134,1489152900735
130,1489152900809
133,1489152901083
131,1489153214345
130,1489153214933
130,1489153215069
130,1489153215156
134,1489153215298
129,1489153386405
88,1489153386485
79,1489153386542
23,1489153535849
6,1489153609316
95,1489153609462
28,1489153688292
76,1489153690270
47,1489153777129
60,1489153865716
21,1489154007384
103,1489154007553
21,1489154007749
30,1489154112910
7,1489154243628
37,1489154243774
39,1489154316656
77,1489154354370
67,1489154453218
42,1489154900486
64,1489154900631
11,1489155295891
59,1489161979712
30,1489162026846
21,1489162500114
9,1489162500247
14,1489162607891
73,1489162800969
106,1489162801075
69,1489162801225
17,1489162836529
50,1489163061461
42,1489163061623
25,1489163061864
28,1489163111856
72,1489163494100
105,1489163520146
103,1489163580512
107,1489163640730
75,1489163700811
32,1489163768175
12,1489164171809
102,1489164240552
119,1489164240731
117,1489164535594
113,1489164535691
118,1489164535775
115,1489164535913
105,1489164596613
63,1489164611679
12,1489164680379
6,1489164990891
71,1489165044130
32,1489165080464
49,1489165183049
27,1489165226206
47,1489165318970
69,1489165820759
125,1489165820885
126,1489165820967
123,1489165821066
124,1489165821187
124,1489165821322
120,1489165821509
22,1489165821663
32,1489166100196
125,1489166100337
122,1489166100441
118,1489166100557
120,1489166100782
119,1489166352483
81,1489166352590
34,1489166352674
22,1489152145668
39,1489152156983
49,1489152206527
21,1489152348659
23,1489152356549
110,1489152386447
39,1489152507051
49,1489152900239
126,1489152900258
124,1489152900274
131,1489152900290
135,1489152900338
129,1489152900364
130,1489153187306
132,1489153187321
130,1489153187333
129,1489153187345
127,1489153187357
133,1489153439640
108,1489153439674
81,1489153439689
93,1489153439705
75,1489153600436
6,1489153656690
57,1489153713715
41,1489153792642
78,1489153806529
82,1489154023518
32,1489154023545
22,1489154100255
57,1489154431546
22,1489154431571
65,1489154431589
66,1489154431609
77,1489154431635
66,1489154431653
23,1489154646627
46,1489154800393
58,1489154837675
20,1489154895420
49,1489155918692
86,1489155918712
28,1489155976428
41,1489156048546
62,1489157479568
43,1489157564629
51,1489157804470
9,1489157846639
21,1489158614607
42,1489158662598
27,1489159853403
17,1489160186636
21,1489160332417
29,1489160535662
25,1489161049214
13,1489161075651
29,1489161149743
25,1489161680414
83,1489162108738
4,1489162108763
17,1489162108797
78,1489162108868
16,1489162108906
41,1489162181380
41,1489162256589
46,1489162508420
74,1489162630627
74,1489162633838
72,1489162691729
90,1489162820540
47,1489163015653
42,1489163015665
26,1489163075574
42,1489163282704
46,1489163531424
86,1489163531515
90,1489163595446
97,1489163700252
62,1489163783549
16,1489163783571
96,1489164212337
114,1489164526525
117,1489164526536
110,1489164526552
117,1489164526563
106,1489164526574
106,1489164571476
16,1489164900275
23,1489165298697
8,1489165298735
15,1489165298766
27,1489165298803
111,1489166099293
126,1489166099307
125,1489166099321
124,1489166099334
124,1489166099347
119,1489166099362
117,1489166099397
18,1489166099432
95,1489166099453
125,1489166099500
123,1489166099524
118,1489166099560
120,1489166330418
121,1489166330600
83,1489166330616
41,1489166532380
47,1489166532411
33,1489166578374
65,1489166598565
47,1489166640613
20,1489166816646
47,1489166816661
18,1489166823558
28,1489167618657
26,1489167618669
26,1489167686662
33,1489167801431
15,1489168036428
24,1489168036502
21,1489168487495
26,1489168487513
17,1489168487527
17,1489169055795
35,1489169055807
3,1489169055821
35,1489169699548
4,1489169699559
19,1489169935413
19,1489170429734
17,1489170429746
18,1489170429762
29,1489170469603
22,1489170491673
