heartrate,timestamp
73,1489047300337
70,1489048500332
71,1489048500361
73,1489048978704
76,1489053295423
69,1489054500409
63,1489055700319
63,1489055700348
64,1489056113662
65,1489056900269
81,1489058100313
75,1489058100345
64,1489059300307
65,1489059802376
76,1489069276581
76,1489070677743
77,1489071756428
81,1489074900297
69,1489081872553
91,1489096376409
104,1489105983425
100,1489112540394
80,1489113300429
76,1489114233503
79,1489115634392
78,1489115634556
69,1489116063373
82,1489116662563
82,1489117629697
78,1489117959877
84,1489120175487
82,1489121618692
63,1489123840406
59,1489123840563
63,1489125275367
57,1489126425554
87,1489156335463
90,1489157005583
90,1489159817700
80,1489160536024
78,1489173759408
75,1489174461615
81,1489175097481
71,1489175700330
66,1489176547439
69,1489179034411
64,1489179695600
75,1489191060432
65,1489200053703
76,1489202100353
79,1489207876716
75,1489210500353
77,1489212697566
73,1489214100296
67,1489215300370
69,1489217699377
67,1489219951614
72,1489220790631
61,1489221164555
72,1489222501361
61,1489222837467
56,1489224901329
64,1489224901373
61,1489226101413
63,1489226101469
50,1489227302347
55,1489227302404
53,1489228503058
52,1489228503095
58,1489229702339
54,1489229702405
63,1489230499608
59,1489230902525
62,1489232102440
61,1489232102512
57,1489233302367
73,1489251182377
72,1489257104478
74,1489259531488
63,1489263296658
77,1489264502326
84,1489273336408
87,1489282501298
76,1489342254744
66,1489349701470
56,1489350134999
64,1489369627939
64,1489375744430
79,1489377301595
80,1489382101558
78,1489383301552
65,1489388101566
62,1489388101616
60,1489389301494
63,1489390501714
61,1489390501800
57,1489391701578
64,1489391701600
62,1489392901564
65,1489392901600
64,1489394068654
62,1489394068681
59,1489395301556
61,1489395301592
59,1489396501675
59,1489396501707
50,1489397358620
64,1489398901521
75,1489398901559
62,1489400101650
60,1489400101695
64,1489401300562
65,1489401300594
59,1489402500498
56,1489402500526
62,1489403700520
63,1489404901679
67,1489406087581
60,1489406087629
56,1489407301549
76,1489417493555
80,1489418494097
86,1489419220513
82,1489433033321
72,1489434674862
73,1489437955594
88,1489444268879
83,1489448521890
96,1489457701543
62,1489461301553
77,1489462501543
71,1489463701536
65,1489463701560
75,1489464901673
71,1489466101589
63,1489468501762
57,1489469702067
61,1489469702121
59,1489470901772
66,1489472102521
68,1489473302524
70,1489473302559
67,1489474502562
67,1489474502588
66,1489475702555
68,1489475702579
66,1489476902625
69,1489478102525
62,1489479302505
57,1489479302536
57,1489480502544
61,1489480502584
59,1489481702587
61,1489481702622
68,1489482902581
61,1489482902604
61,1489484102519
62,1489484102550
54,1489485302543
56,1489485302573
51,1489486502530
61,1489486502561
58,1489487702550
53,1489487702580
59,1489488902568
60,1489488902613
60,1489490102523
61,1489490102572
62,1489491302528
63,1489491302553
61,1489491815786
60,1489492502526
54,1489493702526
57,1489493702559
54,1489494902513
58,1489494902539
57,1489496102570
54,1489496102605
58,1489497302548
56,1489497302574
56,1489498502517
66,1489498502557
54,1489499702555
59,1489499702601
60,1489500148562
70,1489503300736
84,1489509966610
75,1489530078761
63,1489532441571
74,1489533813955
77,1489535455734
71,1489536900679
67,1489538100586
76,1489539300544
68,1489539722649
71,1489541700535
70,1489542900600
67,1489544938632
72,1489546500580
68,1489546500616
73,1489547652890
68,1489547652914
62,1489548900703
64,1489550100653
62,1489550100699
69,1489551300596
63,1489552389794
64,1489554735738
50,1489556100563
56,1489557300555
61,1489557300587
61,1489558500540
58,1489558500569
56,1489559700574
63,1489559700615
65,1489560900553
64,1489560900582
70,1489562100583
65,1489562100623
57,1489563300547
54,1489563300576
59,1489564500556
78,1489564500581
70,1489565700600
74,1489565700632
71,1489566900585
69,1489566900609
70,1489568100550
67,1489568100574
68,1489568566798
75,1489569300542
62,1489569653832
59,1489570500517
62,1489571700662
64,1489571700710
57,1489572900530
60,1489572900651
57,1489574100512
59,1489575300566
67,1489575300612
65,1489577086597
56,1489577700544
63,1489578563613
67,1489581798467
79,1489582980576
64,1489588151628
65,1489588250299
65,1489591363640
70,1489594500588
67,1489596391307
58,1489596636032
65,1489598740553
73,1489603363697
75,1489603934599
81,1489606392270
85,1489607702560
81,1489608197759
105,1489611760473
91,1489612295646
87,1489613199578
94,1489621824799
84,1489626205789
72,1489626758188
73,1489628468635
71,1489631700532
72,1489632508615
67,1489632900589
79,1489636499548
76,1489637285671
66,1489637560815
74,1489638165077
74,1489638840629
82,1489639381641
75,1489639984775
83,1489641300532
77,1489642256608
77,1489642866770
77,1489665762210
86,1489670574933
88,1489671131718
85,1489671731819
77,1489677040607
84,1489680715117
80,1489714875010
82,1489715588988
65,1489717956620
75,1489719207218
70,1489719782959
73,1489721678765
71,1489722726976
82,1489722726997
81,1489724100554
77,1489724100679
83,1489725300820
80,1489725300869
79,1489726500640
83,1489726500768
78,1489727189592
66,1489728900533
70,1489728900565
68,1489730100922
62,1489730101059
64,1489732500477
64,1489732500506
69,1489733700515
70,1489733700545
62,1489733701571
65,1489733701608
61,1489736100591
62,1489736100632
58,1489737300528
62,1489737300565
59,1489738304648
57,1489738304685
62,1489739700500
67,1489739700534
62,1489740900503
57,1489740900552
55,1489742100512
57,1489742100545
53,1489742557680
59,1489743300514
67,1489746578621
50,1489746900537
62,1489747879679
59,1489748901831
76,1489795977402
91,1489797796639
91,1489758717857
79,1489762883797
82,1489764192950
79,1489764700606
83,1489765374084
85,1489767205621
90,1489768253794
112,1489778100585
76,1489781760772
78,1489781777988
95,1489781827629
79,1489798860625
84,1489803692746
79,1489809299574
93,1489809718027
93,1489811053091
83,1489814531649
78,1489816500554
82,1489817412840
76,1489818900574
78,1489820100576
77,1489820100627
76,1489821300554
74,1489821300583
76,1489822500579
80,1489822500607
79,1489823700529
76,1489823700555
73,1489824900535
71,1489824900583
72,1489826100610
70,1489826100666
66,1489827301550
71,1489827301588
70,1489828500686
